id,vocabulary,wordID,key,sols/0/key,sols/0/text,sols/0/dictionary/0/raw,sols/1/key,sols/1/text,sols/1/phonetic,sols/1/dictionary/0/raw,sols/1/dictionary/0/translations/0/type,sols/1/dictionary/0/translations/0/text,sols/1/dictionary/0/translations/0/phonetic,audio_updated_at
10322,201,18205,ECesPxudUVyz1ZGU32dd7_FM9tLkUfZl,ECesPxudUVyz1ZGU32dd7_FM9tLkUfZl,أب,أب,ECesPxudUVyz1ZGU32dd7_FM9tLkUfZl,باپ,baap,باپ,dictionary,أب,,1580691727
10323,201,18218,q4K4ygsldjKYXyl4-_1MooYSy9QTMmUw,q4K4ygsldjKYXyl4-_1MooYSy9QTMmUw,أم,أم,q4K4ygsldjKYXyl4-_1MooYSy9QTMmUw,والدہ,walida,والدہ,dictionary,أم,,1580691735
10324,201,18233,_0LIIahu6k4o-Vk-8T_icrar4yZbwIA8,_0LIIahu6k4o-Vk-8T_icrar4yZbwIA8,ابن,ابن,_0LIIahu6k4o-Vk-8T_icrar4yZbwIA8,بیٹا,baita,بیٹا,dictionary,إبن,,1580691747
10325,201,18200,wnrGXO44uPWtf9C4p4Yq6_TF-8_LUOMT,wnrGXO44uPWtf9C4p4Yq6_TF-8_LUOMT,ابنة,ابنة,wnrGXO44uPWtf9C4p4Yq6_TF-8_LUOMT,بیٹی,baiti,بیٹی,dictionary,ابنة,,1580691724
10326,201,18193,5yJIklmE-tT6L44G-d2no9epgjQXY1kV,5yJIklmE-tT6L44G-d2no9epgjQXY1kV,أخ,أخ,5yJIklmE-tT6L44G-d2no9epgjQXY1kV,بھائی,bhai,بھائی,dictionary,أخ,,1580691716
10327,201,18231,MvBJbVfJec8if_rV-Jh-JqiR8USEzz2p,MvBJbVfJec8if_rV-Jh-JqiR8USEzz2p,أخت,أخت,MvBJbVfJec8if_rV-Jh-JqiR8USEzz2p,بہن,behan,بہن,dictionary,أخت,,1580691746
10328,201,18214,Obd1-xFeIoCaE1hSyADwLXsx3_A9lnTu,Obd1-xFeIoCaE1hSyADwLXsx3_A9lnTu,زوج,زوج,Obd1-xFeIoCaE1hSyADwLXsx3_A9lnTu,شوہر,shohar,شوہر,dictionary,زوج,,1580691734
10329,201,18238,JfjhAJyIspu8m9U_RVPALsYERc0mCrzo,JfjhAJyIspu8m9U_RVPALsYERc0mCrzo,زوجة,زوجة,JfjhAJyIspu8m9U_RVPALsYERc0mCrzo,بیوی,beevi,بیوی,dictionary,زوجة,,1580691753
10330,201,18210,q0q_OVh0zIxKal_zwqsU6XTbtY4SeXlt,q0q_OVh0zIxKal_zwqsU6XTbtY4SeXlt,جد,جد,q0q_OVh0zIxKal_zwqsU6XTbtY4SeXlt,دادا,dada,دادا,dictionary,جد,,1580691729
10331,201,23705,_jPNDpGMZnz_Vd9cPToX0-Hz3sjsrF1T,_jPNDpGMZnz_Vd9cPToX0-Hz3sjsrF1T,حفيد,حفيد,_jPNDpGMZnz_Vd9cPToX0-Hz3sjsrF1T,پوتا,pota,پوتا,dictionary,حفيد,,1688822275
